排名,BRAND,MODEL,detail,總分,price_分數,white_分數,black_分數,RGB light_分數,Max_RPM_分數,Noise_Level_分數
106,貓頭鷹,Noctua NF-A14FLX,PWM/薄扇(KFS1215FD18W-P),348.8166667,348.5166667,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
107,貓頭鷹,Noctua NF-F12 PWM chromax.black.swap,PWM/吸震膠墊(KFS1225FD20W-P),346.3166667,346.0166667,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
108,聯力,UNI FAN SL Wireless 120 積木扇(黑) 單顆裝,PWM/4PIN/12V/(SU1225FD12HR-RNP),340.4833333,340.1833333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
109,聯力,UNI FAN SL Wireless 120 積木扇(白) 單顆裝,PWM/吸震膠墊(WS1225FD24W-P),340.4833333,340.1833333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
110,聯力,UNI FAN SL Wireless 120 反向扇(黑) 單顆裝,PWM/9片漩渦扇葉(WT1225FD20-P),340.4833333,340.1833333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
111,聯力,UNI FAN SL Wireless 120 反向扇(白) 單顆裝,白色/三顆裝/ARGB(WT1225FD25WARX3-P),340.4833333,340.1833333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
112,貓頭鷹,Noctua NF-S12A PWM,LCP塑料/PWM/SPFDB2軸承(GT1225FD20-P),336.3166667,336.0166667,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
113,貓頭鷹,Noctua NF-S12A FLX,PWM(GT1225FD20-P)買二送一(共三個),336.3166667,336.0166667,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
114,darkFlash,S100 12cm 黑,LCP塑料/PWM/SPFDB2軸承(GT1225FD30-P),333.525,333.1833333,0.016666667,0.016666667,0.016666667,0.166666667,0.125
115,威剛,XPG VENTO 120 ARGB(白) 風扇,PWM(GT1225FD30-P)買二送一(共三個),333.4833333,333.1833333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
116,貓頭鷹,Noctua NF-F12,A.RGB/12cm風扇/PWM/雙色防震墊片/1400RPM,332.9833333,332.6833333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
117,喬思伯,ZB-240 黑(反向) 一體式風扇,A.RGB/14cm風扇/PWM/雙色防震墊片/1400RPM,332.1916667,331.85,0.016666667,0.016666667,0.016666667,0.166666667,0.125
118,喬思伯,ZB-240 白(反向) 一體式風扇,A.RGB/12cm風扇/1400RPM/PWM,332.1916667,331.85,0.016666667,0.016666667,0.016666667,0.166666667,0.125
119,台達,AK-12,三顆裝/A.RGB/2000RPM/2年保,332.15,331.85,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
120,MONTECH,E28 ARGB 黑 12cm 三顆裝,單顆裝/A.RGB/2年保,332.15,331.85,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
121,MONTECH,E28 ARGB 白 12cm 三顆裝,三顆裝/含控制器/A.RGB/無線卡扣拼接/2年,332.15,331.85,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
122,喬思伯,ZB-240 黑(正向) 一體式風扇,單顆裝/A.RGB/2年保,332.15,331.85,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
123,喬思伯,ZB-240 白(正向) 一體式風扇,三顆裝/含控制器/A.RGB/無線卡扣拼接/2年,332.15,331.85,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
124,曜越,CT120 ARGB 黑 12cm風扇,需搭配控制器/3年(12SL1W1B),332.15,331.85,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
125,曜越,CT120 ARGB 白 12cm風扇,需搭配控制器/3年(12SL1W1W),332.15,331.85,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
126,威剛,XPG HURRICANE 140 ARGB 風扇,需搭配控制器/3年(12RSL1W1B),315.525,315.1833333,0.016666667,0.016666667,0.016666667,0.166666667,0.125
127,威剛,XPG HURRICANE 140 ARGB(白) 風扇,3年(12RSL1W3B),315.525,315.1833333,0.016666667,0.016666667,0.016666667,0.166666667,0.125
128,利民,TL-B14 14cm風扇(灰黑),需搭配控制器/3年(12RSL1W1W),313.8583333,313.5166667,0.016666667,0.016666667,0.016666667,0.166666667,0.125
129,利民,TL-B14W 14cm風扇(全白),3年(12RSL1W3W),313.8583333,313.5166667,0.016666667,0.016666667,0.016666667,0.166666667,0.125
130,利民,TL-B12 12cm風扇(灰黑),需控制器/3年(12SLLCD1W1B),308.8166667,308.5166667,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
131,酷碼,MasterFan MF140,需控制器/3年(12SLLCD1W1W),300.3166667,300.0166667,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
132,BitFenix,火鳥 幽靈 Spectre A.RGB(5V) 風扇,需控制器/3年(12RSLLCD1W1B),298.8166667,298.5166667,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
133,聯力,Edge USB HUB 黑(EG-HUB01B) USB*4+風扇PWM*6,3年(12RSLLCD1W3B),298.8166667,298.5166667,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
134,聯力,Edge USB HUB 白(EG-HUB01W) USB*4+風扇PWM*6,需控制器/3年(12RSLLCD1W1W),298.8166667,298.5166667,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
135,Apexgaming,A-Cool 魔眼 12,3年(12RSLLCD1W3W),298.8166667,298.5166667,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
136,酷碼,Mobius 120 Slim 風扇,需搭配控制器/3年(12TL1W1B),298.8166667,298.5166667,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
137,NZXT,F140,需搭配控制器/3年(12TL1W1W),298.8166667,298.5166667,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
